date,time,gender,device,activity,country,state
7/17/2014,8:08 AM,male,desktop,1,Brazil,
7/25/2014,2:00 PM,female,desktop,1,Brazil,
7/18/2014,5:36 AM,male,tablet,1,Brazil,
7/17/2014,12:45 AM,female,tablet,1,Brazil,
7/25/2014,3:53 PM,male,mobile,1,Brazil,
7/26/2014,1:41 AM,female,tablet,1,Brazil,
7/31/2014,10:34 AM,female,mobile,1,Brazil,
7/23/2014,6:36 AM,female,mobile,1,Brazil,
7/19/2014,6:54 PM,female,desktop,0,Brazil,
7/30/2014,12:53 AM,female,desktop,0,Brazil,
7/31/2014,5:24 PM,male,tablet,0,Brazil,
7/30/2014,5:37 AM,male,desktop,0,Brazil,
7/30/2014,11:11 PM,male,mobile,1,Brazil,
7/18/2014,12:04 AM,female,mobile,0,Brazil,
7/19/2014,11:17 PM,male,desktop,0,Brazil,
7/21/2014,12:30 AM,female,tablet,1,Brazil,
7/31/2014,8:51 AM,male,mobile,1,Brazil,
7/17/2014,8:59 AM,female,tablet,1,Brazil,
7/24/2014,9:38 PM,female,tablet,1,Brazil,
7/27/2014,10:51 PM,male,mobile,0,Brazil,
7/23/2014,4:05 AM,female,desktop,0,Brazil,
7/27/2014,11:06 AM,female,desktop,1,Brazil,
7/25/2014,12:51 AM,male,mobile,1,Brazil,
7/21/2014,4:19 AM,male,tablet,0,Brazil,
7/20/2014,3:16 AM,female,mobile,1,Brazil,
7/29/2014,10:20 AM,male,tablet,0,Brazil,
7/17/2014,4:39 AM,male,mobile,1,Brazil,
7/22/2014,7:08 AM,female,mobile,1,Brazil,
7/27/2014,5:50 PM,female,mobile,0,Brazil,
7/27/2014,10:53 AM,male,mobile,0,Brazil,
7/25/2014,7:26 AM,male,mobile,0,Brazil,
7/25/2014,1:03 AM,female,mobile,0,Brazil,
7/29/2014,6:47 AM,female,desktop,1,Brazil,
7/25/2014,1:51 PM,male,desktop,1,Brazil,
7/19/2014,12:56 AM,male,tablet,0,Brazil,
7/29/2014,12:58 PM,male,tablet,1,Brazil,
7/23/2014,4:47 AM,male,tablet,1,Brazil,
7/20/2014,6:41 AM,male,tablet,1,Brazil,
7/20/2014,4:04 AM,female,desktop,0,Brazil,
7/17/2014,1:20 PM,female,desktop,0,Brazil,
7/23/2014,7:58 AM,female,desktop,1,Brazil,
7/31/2014,11:28 PM,male,desktop,1,Brazil,
7/30/2014,1:14 AM,male,desktop,1,Brazil,
7/25/2014,11:03 PM,male,desktop,1,Brazil,
7/28/2014,6:00 AM,female,mobile,0,Brazil,
7/28/2014,4:13 AM,female,mobile,1,Brazil,
7/22/2014,1:30 PM,female,tablet,1,Brazil,
7/31/2014,5:50 PM,male,mobile,1,Bulgaria,
7/24/2014,2:00 AM,male,mobile,0,Bulgaria,
7/22/2014,12:29 AM,male,tablet,0,Bulgaria,
7/24/2014,4:48 AM,female,desktop,1,Bulgaria,
7/28/2014,4:52 AM,male,mobile,0,Bulgaria,
7/31/2014,9:35 PM,male,mobile,0,Bulgaria,
7/24/2014,6:46 PM,male,mobile,1,Bulgaria,
7/18/2014,10:47 AM,female,mobile,0,Bulgaria,
7/26/2014,10:16 PM,male,tablet,0,Bulgaria,
7/27/2014,10:20 PM,female,tablet,0,Bulgaria,
7/30/2014,2:18 PM,male,tablet,1,Burkina Faso,
7/22/2014,8:37 AM,male,desktop,1,Burkina Faso,
7/18/2014,5:16 AM,male,mobile,1,Burkina Faso,
7/30/2014,7:55 PM,female,mobile,1,Burkina Faso,
7/29/2014,6:28 AM,female,mobile,0,Cambodia,
7/22/2014,10:56 AM,female,mobile,0,Cambodia,
7/30/2014,3:33 AM,female,mobile,0,Cambodia,
7/28/2014,6:31 PM,female,tablet,1,Cameroon,
7/18/2014,7:03 AM,female,tablet,0,Cameroon,
7/29/2014,9:26 PM,female,tablet,0,Cameroon,
7/17/2014,10:15 AM,male,tablet,1,Cameroon,
7/19/2014,3:51 PM,male,desktop,0,Cameroon,
7/31/2014,9:39 PM,female,tablet,0,Cameroon,
7/18/2014,12:51 AM,male,mobile,1,Cameroon,
7/28/2014,11:43 PM,male,mobile,1,Cameroon,
7/29/2014,9:57 AM,female,tablet,0,Cameroon,
7/23/2014,1:30 AM,female,desktop,1,Cameroon,
7/18/2014,8:46 PM,male,mobile,1,Cameroon,
7/27/2014,8:00 PM,female,tablet,0,Cameroon,
7/23/2014,3:30 PM,female,mobile,0,Cameroon,
7/22/2014,11:43 PM,male,desktop,1,Cameroon,
7/21/2014,10:20 PM,female,mobile,1,Cameroon,
7/21/2014,5:42 AM,male,tablet,0,Cameroon,
7/25/2014,10:06 PM,female,desktop,0,Cameroon,
7/24/2014,7:22 AM,male,mobile,1,Canada,
7/26/2014,9:28 AM,male,desktop,0,Canada,
7/25/2014,3:54 PM,female,desktop,1,Canada,
7/25/2014,11:25 AM,male,mobile,1,Canada,
7/20/2014,9:14 AM,female,mobile,0,Canada,
7/31/2014,12:33 AM,female,mobile,1,Canada,
7/23/2014,7:52 PM,male,desktop,0,Canada,
7/31/2014,2:12 PM,female,tablet,1,Canada,
7/20/2014,10:17 AM,female,tablet,0,Canada,
7/28/2014,6:56 PM,male,mobile,0,Canada,
7/29/2014,1:29 PM,female,desktop,1,Canada,
7/25/2014,11:35 PM,female,mobile,0,Canada,
7/28/2014,12:55 AM,female,tablet,1,Canada,
7/31/2014,11:38 AM,female,desktop,1,Canada,
7/24/2014,10:04 PM,male,mobile,1,Canada,
7/29/2014,9:34 PM,female,mobile,1,Canada,
7/24/2014,7:53 PM,male,desktop,0,Canada,
7/25/2014,2:34 PM,female,desktop,1,Canada,
7/26/2014,4:32 AM,female,desktop,0,Canada,
7/26/2014,11:39 PM,female,mobile,1,Canada,
7/27/2014,1:48 PM,female,mobile,1,Canada,
7/31/2014,1:59 AM,female,tablet,0,Canada,
7/20/2014,4:02 PM,male,tablet,1,Canada,
7/21/2014,5:00 PM,male,mobile,1,Canada,
7/24/2014,10:26 AM,male,desktop,0,Canada,
7/24/2014,3:50 AM,female,desktop,0,Canada,
7/28/2014,9:34 AM,female,mobile,1,Canada,
7/26/2014,12:07 PM,male,mobile,1,Canada,
7/18/2014,10:15 PM,female,desktop,0,Canada,
7/25/2014,1:16 PM,male,mobile,1,Canada,
7/24/2014,3:10 AM,female,mobile,1,Canada,
7/19/2014,8:49 PM,female,mobile,0,Canada,
7/30/2014,2:43 PM,female,tablet,1,Canada,
7/20/2014,3:14 PM,male,tablet,0,Canada,
7/21/2014,2:36 PM,male,tablet,1,Canada,
7/23/2014,5:03 AM,male,mobile,0,Canada,
7/30/2014,9:38 AM,female,tablet,1,Canada,
7/22/2014,6:20 AM,male,desktop,1,Canada,
7/21/2014,7:43 AM,male,mobile,0,Canada,
7/20/2014,6:19 AM,male,tablet,0,Canada,
7/28/2014,9:22 PM,female,desktop,1,Canada,
7/30/2014,2:00 PM,female,mobile,1,Canada,
7/17/2014,10:24 AM,female,desktop,0,Canada,
7/28/2014,4:30 AM,male,desktop,1,Canada,
7/21/2014,12:20 PM,female,desktop,0,Canada,
7/19/2014,2:10 PM,female,desktop,0,Canada,
7/27/2014,4:45 PM,male,desktop,0,Canada,
7/17/2014,11:05 AM,male,mobile,1,Canada,
7/19/2014,1:54 PM,female,tablet,0,Canada,
7/20/2014,6:36 AM,male,desktop,0,Canada,
7/17/2014,1:30 AM,male,desktop,0,Canada,
7/26/2014,10:09 PM,female,desktop,0,Canada,
7/28/2014,4:30 PM,female,desktop,0,Cape Verde,
7/17/2014,5:58 AM,female,desktop,1,Cape Verde,
7/25/2014,7:13 AM,male,mobile,0,Cape Verde,
7/27/2014,2:01 AM,male,tablet,0,Cayman Islands,
7/21/2014,6:55 AM,male,tablet,0,Central African Republic,
7/22/2014,8:12 PM,male,mobile,0,Central African Republic,
7/19/2014,8:30 PM,female,mobile,0,Central African Republic,
7/22/2014,11:00 PM,female,desktop,1,Central African Republic,
7/20/2014,9:18 AM,female,desktop,0,Chad,
7/19/2014,9:39 AM,male,mobile,0,Chad,
7/17/2014,11:09 AM,female,mobile,1,Chad,
7/18/2014,1:22 PM,male,tablet,1,Chile,
7/29/2014,7:31 PM,male,mobile,1,Chile,
7/19/2014,1:59 PM,male,tablet,0,Chile,
7/30/2014,8:11 AM,male,tablet,0,Chile,
7/20/2014,3:28 PM,male,tablet,0,Chile,
7/25/2014,4:17 AM,male,tablet,1,Chile,
7/21/2014,11:16 PM,female,desktop,0,Chile,
7/18/2014,7:49 PM,female,tablet,1,Chile,
7/31/2014,8:47 AM,male,mobile,0,Chile,
7/21/2014,7:52 AM,female,mobile,1,Chile,
7/23/2014,12:05 AM,female,mobile,0,Chile,
7/28/2014,5:21 AM,male,mobile,0,Chile,
7/30/2014,7:21 AM,female,desktop,1,Chile,
7/23/2014,5:57 AM,female,tablet,1,Chile,
7/30/2014,1:07 AM,female,tablet,0,China,
7/20/2014,12:59 AM,male,tablet,1,China,
7/23/2014,9:07 PM,female,desktop,0,China,
7/28/2014,4:36 AM,female,tablet,0,China,
7/19/2014,8:56 AM,female,mobile,0,China,
7/30/2014,7:33 PM,female,mobile,0,China,
7/27/2014,7:50 PM,male,tablet,1,China,
7/26/2014,8:39 PM,female,desktop,1,China,
7/31/2014,5:02 AM,male,desktop,1,China,
7/30/2014,11:55 AM,male,mobile,1,China,
7/26/2014,9:27 AM,female,tablet,1,China,
7/18/2014,6:37 AM,male,desktop,0,China,
7/25/2014,10:09 AM,female,mobile,0,China,
7/21/2014,6:11 PM,male,tablet,0,China,
7/20/2014,5:10 PM,female,mobile,0,China,
7/24/2014,4:06 AM,male,tablet,1,China,
7/18/2014,8:05 PM,male,mobile,0,China,
7/29/2014,10:13 AM,female,tablet,1,China,
7/20/2014,8:19 AM,female,tablet,0,China,
7/25/2014,4:10 AM,male,mobile,1,China,
7/23/2014,1:10 PM,female,mobile,0,China,
7/28/2014,1:05 PM,male,desktop,1,China,
7/25/2014,11:48 AM,female,mobile,0,China,
7/29/2014,8:27 AM,male,desktop,0,China,
7/29/2014,5:41 AM,male,mobile,1,China,
7/30/2014,9:18 PM,female,mobile,0,China,
7/22/2014,5:26 AM,female,desktop,1,China,
7/29/2014,11:49 PM,male,tablet,0,China,
7/23/2014,2:56 PM,female,desktop,0,China,
7/22/2014,5:13 AM,male,desktop,0,China,
7/31/2014,4:38 AM,female,mobile,0,China,
7/27/2014,11:10 AM,male,desktop,0,China,
7/19/2014,11:47 AM,male,tablet,0,China,
7/31/2014,1:08 AM,female,tablet,0,China,
7/29/2014,4:32 PM,male,tablet,1,China,
7/26/2014,7:42 PM,male,mobile,0,China,
7/27/2014,7:32 AM,male,desktop,1,China,
7/19/2014,10:54 AM,female,desktop,0,China,
7/26/2014,9:35 PM,female,tablet,0,China,
7/30/2014,12:39 AM,female,desktop,1,China,
7/27/2014,12:15 AM,male,mobile,0,China,
7/18/2014,1:51 PM,female,mobile,1,China,
7/31/2014,10:40 AM,female,mobile,1,China,
7/25/2014,1:27 AM,female,desktop,0,China,
7/20/2014,6:32 AM,male,tablet,1,China,
7/17/2014,7:50 PM,female,mobile,0,China,
7/23/2014,7:09 AM,male,mobile,0,China,
7/21/2014,8:00 PM,female,tablet,0,China,
7/28/2014,5:16 PM,female,mobile,0,China,
7/27/2014,10:12 PM,male,desktop,1,China,
7/31/2014,3:37 PM,female,tablet,0,China,
7/25/2014,6:33 PM,male,desktop,1,China,
7/20/2014,10:20 PM,male,desktop,0,China,
7/24/2014,4:58 AM,female,mobile,1,China,
7/25/2014,4:14 AM,female,tablet,1,China,
7/21/2014,7:42 PM,male,mobile,0,China,
7/22/2014,7:51 AM,female,mobile,0,China,
7/21/2014,12:55 PM,male,mobile,0,China,
7/29/2014,3:31 AM,male,mobile,0,China,
7/23/2014,10:55 PM,male,desktop,0,China,
7/31/2014,1:39 AM,female,mobile,0,China,
